date,netWorth
2024-08-20 16:00:00,1.6717
2024-08-21 16:00:00,1.6362
2024-08-22 16:00:00,1.6601
2024-08-25 16:00:00,1.6396
2024-08-26 16:00:00,1.6468
2024-08-27 16:00:00,1.6277
2024-08-28 16:00:00,1.6154
2024-08-29 16:00:00,1.6387
2024-09-01 16:00:00,1.629
2024-09-02 16:00:00,1.5701
2024-09-03 16:00:00,1.5595
2024-09-04 16:00:00,1.5637
2024-09-05 16:00:00,1.5147
2024-09-08 16:00:00,1.5276
2024-09-09 16:00:00,1.5433
2024-09-10 16:00:00,1.584
2024-09-11 16:00:00,1.6005
2024-09-12 16:00:00,1.6142
2024-09-17 16:00:00,1.5908
2024-09-18 16:00:00,1.6378
2024-09-19 16:00:00,1.6292
2024-09-22 16:00:00,1.6276
2024-09-23 16:00:00,1.6615
2024-09-24 16:00:00,1.6605
2024-09-25 16:00:00,1.6769
2024-09-26 16:00:00,1.6711
2024-09-29 16:00:00,1.6943
2024-10-07 16:00:00,1.7561
2024-10-08 16:00:00,1.7444
2024-10-09 16:00:00,1.7591
2024-10-10 16:00:00,1.7594
2024-10-13 16:00:00,1.7701
2024-10-14 16:00:00,1.735
2024-10-15 16:00:00,1.7337
2024-10-16 16:00:00,1.7507
2024-10-17 16:00:00,1.7696
2024-10-20 16:00:00,1.7741
2024-10-21 16:00:00,1.7805
2024-10-22 16:00:00,1.7533
2024-10-23 16:00:00,1.7543
2024-10-24 16:00:00,1.7627
2024-10-27 16:00:00,1.7601
2024-10-28 16:00:00,1.7842
2024-10-29 16:00:00,1.7788
2024-10-30 16:00:00,1.7249
2024-10-31 16:00:00,1.7388
2024-11-03 16:00:00,1.7329
2024-11-04 16:00:00,1.762
2024-11-05 16:00:00,1.7878
2024-11-06 16:00:00,1.8452
2024-11-07 16:00:00,1.8268
2024-11-10 16:00:00,1.8185
2024-11-11 16:00:00,1.8137
2024-11-12 16:00:00,1.813
2024-11-13 16:00:00,1.7967
2024-11-14 16:00:00,1.7527
2024-11-17 16:00:00,1.7553
2024-11-18 16:00:00,1.7846
2024-11-19 16:00:00,1.7824
2024-11-20 16:00:00,1.7775
2024-11-21 16:00:00,1.765
2024-11-24 16:00:00,1.7519
2024-11-25 16:00:00,1.7634
2024-11-26 16:00:00,1.7446
2024-11-27 16:00:00,1.7423
2024-11-28 16:00:00,1.763
2024-12-01 16:00:00,1.7937
2024-12-02 16:00:00,1.8159
2024-12-03 16:00:00,1.8504
2024-12-04 16:00:00,1.8552
2024-12-05 16:00:00,1.8845
2024-12-08 16:00:00,1.8642
2024-12-09 16:00:00,1.8529
2024-12-10 16:00:00,1.9078
2024-12-11 16:00:00,1.8925
2024-12-12 16:00:00,1.9364
2024-12-15 16:00:00,1.9876
2024-12-16 16:00:00,1.9723
2024-12-17 16:00:00,1.8845
2024-12-18 16:00:00,1.886
2024-12-19 16:00:00,1.8996
2024-12-22 16:00:00,1.9276
2024-12-23 16:00:00,1.9571
2024-12-24 16:00:00,1.9569
2024-12-25 16:00:00,1.9543
2024-12-26 16:00:00,1.9192
2024-12-29 16:00:00,1.8894
2024-12-30 16:00:00,1.8595
2025-01-01 16:00:00,1.8596
2025-01-02 16:00:00,1.9024
2025-01-05 16:00:00,1.9341
2025-01-06 16:00:00,1.8827
2025-01-07 16:00:00,1.8755
2025-01-08 16:00:00,1.8783
2025-01-09 16:00:00,1.8493
2025-01-12 16:00:00,1.8336
2025-01-13 16:00:00,1.832
2025-01-14 16:00:00,1.8781
2025-01-15 16:00:00,1.8694
2025-01-16 16:00:00,1.8988
2025-01-19 16:00:00,1.9026
2025-01-20 16:00:00,1.9213
2025-01-21 16:00:00,1.9543
2025-01-22 16:00:00,1.957
2025-01-23 16:00:00,1.9479
2025-01-26 16:00:00,1.7884
2025-02-04 16:00:00,1.9119
2025-02-05 16:00:00,1.9163
2025-02-06 16:00:00,1.8914
2025-02-09 16:00:00,1.9022
